Country,Dishes,Dish_Normalized,Links,Flag
Canada, Butter tarts, Butter tarts,https://www.google.com/search?q=+Butter+tarts+Canada,🇨🇦
Chile, Empanada, Empanada,https://www.google.com/search?q=+Empanada+Chile,🇨🇱
Chile, Pastel de choclo, Pastel de choclo,https://www.google.com/search?q=+Pastel+de+choclo+Chile,🇨🇱
China, Peking duck, Peking duck,https://www.google.com/search?q=+Peking+duck+China,🇨🇳
China, luosifen, luosifen,https://www.google.com/search?q=+luosifen+China,🇨🇳
China, crayfish Hot pot, crayfish Hot pot,https://www.google.com/search?q=+crayfish+Hot+pot+China,🇨🇳
China, dumpling, dumpling,https://www.google.com/search?q=+dumpling+China,🇨🇳
China, malaxiangguo, malaxiangguo,https://www.google.com/search?q=+malaxiangguo+China,🇨🇳
China, Dim sum, Dim sum,https://www.google.com/search?q=+Dim+sum+China,🇨🇳
China, Kaolengmian, Kaolengmian,https://www.google.com/search?q=+Kaolengmian+China,🇨🇳
China, Tanghulu, Tanghulu,https://www.google.com/search?q=+Tanghulu+China,🇨🇳
Colombia, Ajiaco, Ajiaco,https://www.google.com/search?q=+Ajiaco+Colombia,🇨🇴
Colombia, arepa Bandeja paisa, arepa Bandeja paisa,https://www.google.com/search?q=+arepa+Bandeja+paisa+Colombia,🇨🇴
Comoros, Langouste a la vanille, Langouste a la vanille,https://www.google.com/search?q=+Langouste+a+la+vanille+Comoros,🇰🇲
Republic of the Congo, Poulet Moambé, Poulet Moambe,https://www.google.com/search?q=+Poulet+Moambe+Republic of the Congo,🇨🇬
Costa Rica, Gallo Pinto, Gallo Pinto,https://www.google.com/search?q=+Gallo+Pinto+Costa Rica,🇨🇷
Croatia, Zagorski štrukli, Zagorski strukli,https://www.google.com/search?q=+Zagorski+strukli+Croatia,🇭🇷
Cuba, Ropa vieja, Ropa vieja,https://www.google.com/search?q=+Ropa+vieja+Cuba,🇨🇺
Cyprus, Souvla, Souvla,https://www.google.com/search?q=+Souvla+Cyprus,🇨🇾
Cyprus, Kleftiko, Kleftiko,https://www.google.com/search?q=+Kleftiko+Cyprus,🇨🇾
Cyprus, Trachanás, Trachanas,https://www.google.com/search?q=+Trachanas+Cyprus,🇨🇾
Denmark, Stegt Flæsk, Stegt Flsk,https://www.google.com/search?q=+Stegt+Flsk+Denmark,🇩🇰
Denmark, Smørrebrød, Smrrebrd,https://www.google.com/search?q=+Smrrebrd+Denmark,🇩🇰
Dominica, Mountain chicken (historical), Mountain chicken (historical),https://www.google.com/search?q=+Mountain+chicken+(historical)+Dominica,🇩🇲
Dominica, Callaloo, Callaloo,https://www.google.com/search?q=+Callaloo+Dominica,🇩🇲
Dominican Republic, La bandera (rice, La bandera (rice,https://www.google.com/search?q=+La+bandera+(rice+Dominican Republic,🇩🇴
Dominican Republic, beans and meat), beans and meat),https://www.google.com/search?q=+beans+and+meat)+Dominican Republic,🇩🇴
Ecuador, Encebollado, Encebollado,https://www.google.com/search?q=+Encebollado+Ecuador,🇪🇨
Ecuador, Guatitas, Guatitas,https://www.google.com/search?q=+Guatitas+Ecuador,🇪🇨
Egypt, Ful medames, Ful medames,https://www.google.com/search?q=+Ful+medames+Egypt,🇪🇬
Egypt, kushari, kushari,https://www.google.com/search?q=+kushari+Egypt,🇪🇬
Egypt, molokhiya, molokhiya,https://www.google.com/search?q=+molokhiya+Egypt,🇪🇬
Egypt, taʿamiya, taamiya,https://www.google.com/search?q=+taamiya+Egypt,🇪🇬
El Salvador, Pupusa, Pupusa,https://www.google.com/search?q=+Pupusa+El Salvador,🇸🇻
Eritrea, Zigini with injera, Zigini with injera,https://www.google.com/search?q=+Zigini+with+injera+Eritrea,🇪🇷
Ethiopia, Doro wat with injera, Doro wat with injera,https://www.google.com/search?q=+Doro+wat+with+injera+Ethiopia,🇪🇹
Fiji, Fiji Kokoda, Fiji Kokoda,https://www.google.com/search?q=+Fiji+Kokoda+Fiji,🇫🇯
Finland, Karjalanpaisti, Karjalanpaisti,https://www.google.com/search?q=+Karjalanpaisti+Finland,🇫🇮
Finland, rye bread, rye bread,https://www.google.com/search?q=+rye+bread+Finland,🇫🇮
France, Pot-au-feu, Pot-au-feu,https://www.google.com/search?q=+Pot-au-feu+France,🇫🇷
France, Beef bourguignon, Beef bourguignon,https://www.google.com/search?q=+Beef+bourguignon+France,🇫🇷
France, Blanquette de veau, Blanquette de veau,https://www.google.com/search?q=+Blanquette+de+veau+France,🇫🇷
France, Steak frites, Steak frites,https://www.google.com/search?q=+Steak+frites+France,🇫🇷
France, Baguette, Baguette,https://www.google.com/search?q=+Baguette+France,🇫🇷
France, Crêpe, Crepe,https://www.google.com/search?q=+Crepe+France,🇫🇷
France, Crème caramel, Creme caramel,https://www.google.com/search?q=+Creme+caramel+France,🇫🇷
France, Poulet au pot (historical) , Poulet au pot (historical) ,https://www.google.com/search?q=+Poulet+au+pot+(historical)++France,🇫🇷
Gabon, Poulet Nyembwe, Poulet Nyembwe,https://www.google.com/search?q=+Poulet+Nyembwe+Gabon,🇬🇦
Georgia, Khachapuri, Khachapuri,https://www.google.com/search?q=+Khachapuri+Georgia,🇬🇪
Germany, Schnitzel, Schnitzel,https://www.google.com/search?q=+Schnitzel+Germany,🇩🇪
Germany, Schweinshaxe, Schweinshaxe,https://www.google.com/search?q=+Schweinshaxe+Germany,🇩🇪
Germany, Bratwurst, Bratwurst,https://www.google.com/search?q=+Bratwurst+Germany,🇩🇪
Germany, Sauerbraten, Sauerbraten,https://www.google.com/search?q=+Sauerbraten+Germany,🇩🇪
Germany, Döner kebab, Doner kebab,https://www.google.com/search?q=+Doner+kebab+Germany,🇩🇪
Germany, Currywurst, Currywurst,https://www.google.com/search?q=+Currywurst+Germany,🇩🇪
Germany, Eisbein with sauerkraut, Eisbein with sauerkraut,https://www.google.com/search?q=+Eisbein+with+sauerkraut+Germany,🇩🇪
Greece, Horiatiki, Horiatiki,https://www.google.com/search?q=+Horiatiki+Greece,🇬🇷
Greece, Moussaka, Moussaka,https://www.google.com/search?q=+Moussaka+Greece,🇬🇷
Greece, Fasolada Souvlaki, Fasolada Souvlaki,https://www.google.com/search?q=+Fasolada+Souvlaki+Greece,🇬🇷
Greece, Gyro, Gyro,https://www.google.com/search?q=+Gyro+Greece,🇬🇷
Greece, Magiritsa, Magiritsa,https://www.google.com/search?q=+Magiritsa+Greece,🇬🇷
Greece, Kokoretsi, Kokoretsi,https://www.google.com/search?q=+Kokoretsi+Greece,🇬🇷
Grenada, Oil down, Oil down,https://www.google.com/search?q=+Oil+down+Grenada,🇬🇩
Guyana, Pepperpot and Chicken curry, Pepperpot and Chicken curry,https://www.google.com/search?q=+Pepperpot+and+Chicken+curry+Guyana,🇬🇾
Haiti, Griot (food), Griot (food),https://www.google.com/search?q=+Griot+(food)+Haiti,🇭🇹
Hungary, Gulyás, Gulyas,https://www.google.com/search?q=+Gulyas+Hungary,🇭🇺
Iceland, Lamb, Lamb,https://www.google.com/search?q=+Lamb+Iceland,🇮🇸
Iceland, Hákarl, Hakarl,https://www.google.com/search?q=+Hakarl+Iceland,🇮🇸
Indonesia, Nasi goreng, Nasi goreng,https://www.google.com/search?q=+Nasi+goreng+Indonesia,🇮🇩
Indonesia, Tumpeng, Tumpeng,https://www.google.com/search?q=+Tumpeng+Indonesia,🇮🇩
Indonesia, Satay, Satay,https://www.google.com/search?q=+Satay+Indonesia,🇮🇩
Indonesia, Soto, Soto,https://www.google.com/search?q=+Soto+Indonesia,🇮🇩
Indonesia, Rendang, Rendang,https://www.google.com/search?q=+Rendang+Indonesia,🇮🇩
Indonesia, Gado gado, Gado gado,https://www.google.com/search?q=+Gado+gado+Indonesia,🇮🇩
Iran, Abgoosht, Abgoosht,https://www.google.com/search?q=+Abgoosht+Iran,🇮🇷
Iran, Chelo kabab, Chelo kabab,https://www.google.com/search?q=+Chelo+kabab+Iran,🇮🇷
Iran, Ghormeh sabzi Fesenjan, Ghormeh sabzi Fesenjan,https://www.google.com/search?q=+Ghormeh+sabzi+Fesenjan+Iran,🇮🇷
Iraq, Masgouf, Masgouf,https://www.google.com/search?q=+Masgouf+Iraq,🇮🇶
Ireland, Breakfast roll, Breakfast roll,https://www.google.com/search?q=+Breakfast+roll+Ireland,🇮🇪
Ireland, Irish stew, Irish stew,https://www.google.com/search?q=+Irish+stew+Ireland,🇮🇪
Israel, Falafel (served in pita), Falafel (served in pita),https://www.google.com/search?q=+Falafel+(served+in+pita)+Israel,🇮🇱
Israel, Israeli salad, Israeli salad,https://www.google.com/search?q=+Israeli+salad+Israel,🇮🇱
Israel, Shakshouka, Shakshouka,https://www.google.com/search?q=+Shakshouka+Israel,🇮🇱
Israel, Meorav Yerushalmi, Meorav Yerushalmi,https://www.google.com/search?q=+Meorav+Yerushalmi+Israel,🇮🇱
Italy, Pasta, Pasta,https://www.google.com/search?q=+Pasta+Italy,🇮🇹
Italy, pizza, pizza,https://www.google.com/search?q=+pizza+Italy,🇮🇹
Jamaica, Ackee and Saltfish, Ackee and Saltfish,https://www.google.com/search?q=+Ackee+and+Saltfish+Jamaica,🇯🇲
Jamaica, Jerk chicken, Jerk chicken,https://www.google.com/search?q=+Jerk+chicken+Jamaica,🇯🇲
Japan, Sushi, Sushi,https://www.google.com/search?q=+Sushi+Japan,🇯🇵
Japan, Japanese curry, Japanese curry,https://www.google.com/search?q=+Japanese+curry+Japan,🇯🇵
Japan, Ramen, Ramen,https://www.google.com/search?q=+Ramen+Japan,🇯🇵
Japan, Tempura, Tempura,https://www.google.com/search?q=+Tempura+Japan,🇯🇵
Japan, Wagashi, Wagashi,https://www.google.com/search?q=+Wagashi+Japan,🇯🇵
Jordan, Mansaf, Mansaf,https://www.google.com/search?q=+Mansaf+Jordan,🇯🇴
Kazakhstan, Beshbarmak, Beshbarmak,https://www.google.com/search?q=+Beshbarmak+Kazakhstan,🇰🇿
Kenya, Ugali with sukuma wiki, Ugali with sukuma wiki,https://www.google.com/search?q=+Ugali+with+sukuma+wiki+Kenya,🇰🇪
Kenya, Githeri, Githeri,https://www.google.com/search?q=+Githeri+Kenya,🇰🇪
Kenya, chapati, chapati,https://www.google.com/search?q=+chapati+Kenya,🇰🇪
Kenya, nyama choma, nyama choma,https://www.google.com/search?q=+nyama+choma+Kenya,🇰🇪
Kosovo, Flia, Flia,https://www.google.com/search?q=+Flia+Kosovo,🇽🇰
Kyrgyzstan, Beshbarmak, Beshbarmak,https://www.google.com/search?q=+Beshbarmak+Kyrgyzstan,🇰🇬
Laos, Larb/Laap, Larb/Laap,https://www.google.com/search?q=+Larb/Laap+Laos,🇱🇦
Laos, sticky rice, sticky rice,https://www.google.com/search?q=+sticky+rice+Laos,🇱🇦
Laos, Tam Mak Hoong, Tam Mak Hoong,https://www.google.com/search?q=+Tam+Mak+Hoong+Laos,🇱🇦
Latvia, Layered rye bread, Layered rye bread,https://www.google.com/search?q=+Layered+rye+bread+Latvia,🇱🇻
Latvia, sklandrausis, sklandrausis,https://www.google.com/search?q=+sklandrausis+Latvia,🇱🇻
Latvia, Jāņi cheese, Jani cheese,https://www.google.com/search?q=+Jani+cheese+Latvia,🇱🇻
Lebanon, Kibbeh, Kibbeh,https://www.google.com/search?q=+Kibbeh+Lebanon,🇱🇧
Lebanon, Tabbouleh, Tabbouleh,https://www.google.com/search?q=+Tabbouleh+Lebanon,🇱🇧
Lithuania, Cepelinai, Cepelinai,https://www.google.com/search?q=+Cepelinai+Lithuania,🇱🇹
Lithuania, Šaltibarščiai, Saltibarsciai,https://www.google.com/search?q=+Saltibarsciai+Lithuania,🇱🇹
Luxembourg, Judd mat Gaardebounen, Judd mat Gaardebounen,https://www.google.com/search?q=+Judd+mat+Gaardebounen+Luxembourg,🇱🇺
Madagascar, Romazava, Romazava,https://www.google.com/search?q=+Romazava+Madagascar,🇲🇬
Malawi, Chambo with nshima, Chambo with nshima,https://www.google.com/search?q=+Chambo+with+nshima+Malawi,🇲🇼
Malaysia, Nasi lemak, Nasi lemak,https://www.google.com/search?q=+Nasi+lemak+Malaysia,🇲🇾
Malaysia, Satay, Satay,https://www.google.com/search?q=+Satay+Malaysia,🇲🇾
Malta, Stuffat tal-fenek, Stuffat tal-fenek,https://www.google.com/search?q=+Stuffat+tal-fenek+Malta,🇲🇹
Mauritius, Dholl puri (flatbread stuffed with lentils), Dholl puri (flatbread stuffed with lentils),https://www.google.com/search?q=+Dholl+puri+(flatbread+stuffed+with+lentils)+Mauritius,🇲🇺
Mexico, Taco, Taco,https://www.google.com/search?q=+Taco+Mexico,🇲🇽
Mexico, Mole poblano, Mole poblano,https://www.google.com/search?q=+Mole+poblano+Mexico,🇲🇽
Mexico, Chiles en nogada, Chiles en nogada,https://www.google.com/search?q=+Chiles+en+nogada+Mexico,🇲🇽
Monaco, Barbagiuan, Barbagiuan,https://www.google.com/search?q=+Barbagiuan+Monaco,🇲🇨
Morocco, Couscous, Couscous,https://www.google.com/search?q=+Couscous+Morocco,🇲🇦
Morocco, Tagine, Tagine,https://www.google.com/search?q=+Tagine+Morocco,🇲🇦
Myanmar, Mohinga, Mohinga,https://www.google.com/search?q=+Mohinga+Myanmar,🇲🇲
Myanmar, Lahpet thoke, Lahpet thoke,https://www.google.com/search?q=+Lahpet+thoke+Myanmar,🇲🇲
Nepal, Dal bhat, Dal bhat,https://www.google.com/search?q=+Dal+bhat+Nepal,🇳🇵
Nepal, Momo cha, Momo cha,https://www.google.com/search?q=+Momo+cha+Nepal,🇳🇵
Netherlands, Stamppot, Stamppot,https://www.google.com/search?q=+Stamppot+Netherlands,🇳🇱
Netherlands, soused herring with onion and pickles, soused herring with onion and pickles,https://www.google.com/search?q=+soused+herring+with+onion+and+pickles+Netherlands,🇳🇱
New Zealand, Meat pie, Meat pie,https://www.google.com/search?q=+Meat+pie+New Zealand,🇳🇿
New Zealand, bacon and egg pie, bacon and egg pie,https://www.google.com/search?q=+bacon+and+egg+pie+New Zealand,🇳🇿
New Zealand, lamb, lamb,https://www.google.com/search?q=+lamb+New Zealand,🇳🇿
New Zealand, Pavlova, Pavlova,https://www.google.com/search?q=+Pavlova+New Zealand,🇳🇿
Nicaragua, Nacatamal, Nacatamal,https://www.google.com/search?q=+Nacatamal+Nicaragua,🇳🇮
Niger, Dambou, Dambou,https://www.google.com/search?q=+Dambou+Niger,🇳🇪
Nigeria, Tuwo shinkafa, Tuwo shinkafa,https://www.google.com/search?q=+Tuwo+shinkafa+Nigeria,🇳🇬
Nigeria, Jollof rice, Jollof rice,https://www.google.com/search?q=+Jollof+rice+Nigeria,🇳🇬
Nigeria, Pounded Yam and Egusi soup, Pounded Yam and Egusi soup,https://www.google.com/search?q=+Pounded+Yam+and+Egusi+soup+Nigeria,🇳🇬
Norway, Fårikål, Farikal,https://www.google.com/search?q=+Farikal+Norway,🇳🇴
Oman, Shuwa, Shuwa,https://www.google.com/search?q=+Shuwa+Oman,🇴🇲
Pakistan, Biryani, Biryani,https://www.google.com/search?q=+Biryani+Pakistan,🇵🇰
Pakistan, Nihari, Nihari,https://www.google.com/search?q=+Nihari+Pakistan,🇵🇰
Pakistan, Gulab jamun, Gulab jamun,https://www.google.com/search?q=+Gulab+jamun+Pakistan,🇵🇰
Palestine, Maqluba, Maqluba,https://www.google.com/search?q=+Maqluba+Palestine,🇵🇸
Palestine, Musakhan, Musakhan,https://www.google.com/search?q=+Musakhan+Palestine,🇵🇸
Palestine, falafel, falafel,https://www.google.com/search?q=+falafel+Palestine,🇵🇸
Panama, Sancocho, Sancocho,https://www.google.com/search?q=+Sancocho+Panama,🇵🇦
Peru, Ceviche, Ceviche,https://www.google.com/search?q=+Ceviche+Peru,🇵🇪
Philippines, Adobo, Adobo,https://www.google.com/search?q=+Adobo+Philippines,🇵🇭
Philippines, Sinigang, Sinigang,https://www.google.com/search?q=+Sinigang+Philippines,🇵🇭
Philippines, Sisig, Sisig,https://www.google.com/search?q=+Sisig+Philippines,🇵🇭
Philippines, Pancit, Pancit,https://www.google.com/search?q=+Pancit+Philippines,🇵🇭
Philippines, Halo-halo, Halo-halo,https://www.google.com/search?q=+Halo-halo+Philippines,🇵🇭
Poland, Bigos, Bigos,https://www.google.com/search?q=+Bigos+Poland,🇵🇱
Poland, Pierogi, Pierogi,https://www.google.com/search?q=+Pierogi+Poland,🇵🇱
Poland, Kotlet schabowy, Kotlet schabowy,https://www.google.com/search?q=+Kotlet+schabowy+Poland,🇵🇱
Portugal, Bacalhau, Bacalhau,https://www.google.com/search?q=+Bacalhau+Portugal,🇵🇹
Portugal, Caldo verde, Caldo verde,https://www.google.com/search?q=+Caldo+verde+Portugal,🇵🇹
Portugal, cozido à portuguesa, cozido a portuguesa,https://www.google.com/search?q=+cozido+a+portuguesa+Portugal,🇵🇹
Portugal, Pastel de Belem, Pastel de Belem,https://www.google.com/search?q=+Pastel+de+Belem+Portugal,🇵🇹
Portugal, Sardinha Assada (Grilled Sardines), Sardinha Assada (Grilled Sardines),https://www.google.com/search?q=+Sardinha+Assada+(Grilled+Sardines)+Portugal,🇵🇹
Qatar, Machboos, Machboos,https://www.google.com/search?q=+Machboos+Qatar,🇶🇦
Romania, Mămăligă, Mamaliga,https://www.google.com/search?q=+Mamaliga+Romania,🇷🇴
Romania, Sarmale, Sarmale,https://www.google.com/search?q=+Sarmale+Romania,🇷🇴
Romania, Mici, Mici,https://www.google.com/search?q=+Mici+Romania,🇷🇴
Russia, Borscht, Borscht,https://www.google.com/search?q=+Borscht+Russia,🇷🇺
Russia, Shchi, Shchi,https://www.google.com/search?q=+Shchi+Russia,🇷🇺
Russia, Kasha, Kasha,https://www.google.com/search?q=+Kasha+Russia,🇷🇺
Russia, Pelmeni, Pelmeni,https://www.google.com/search?q=+Pelmeni+Russia,🇷🇺
Russia, Pirozhki, Pirozhki,https://www.google.com/search?q=+Pirozhki+Russia,🇷🇺
Russia, Bliny, Bliny,https://www.google.com/search?q=+Bliny+Russia,🇷🇺
Russia, Oladyi, Oladyi,https://www.google.com/search?q=+Oladyi+Russia,🇷🇺
Russia, Sour Cabbage, Sour Cabbage,https://www.google.com/search?q=+Sour+Cabbage+Russia,🇷🇺
Russia, Bublik, Bublik,https://www.google.com/search?q=+Bublik+Russia,🇷🇺
Russia, Baranki, Baranki,https://www.google.com/search?q=+Baranki+Russia,🇷🇺
Russia, Karavai, Karavai,https://www.google.com/search?q=+Karavai+Russia,🇷🇺
Russia, Solenia, Solenia,https://www.google.com/search?q=+Solenia+Russia,🇷🇺
Russia, Vareniki, Vareniki,https://www.google.com/search?q=+Vareniki+Russia,🇷🇺
Russia, Rassolnik, Rassolnik,https://www.google.com/search?q=+Rassolnik+Russia,🇷🇺
Russia, Pryanik, Pryanik,https://www.google.com/search?q=+Pryanik+Russia,🇷🇺
Saudi Arabia, Kabsa, Kabsa,https://www.google.com/search?q=+Kabsa+Saudi Arabia,🇸🇦
Saudi Arabia, Saleeg, Saleeg,https://www.google.com/search?q=+Saleeg+Saudi Arabia,🇸🇦
Senegal, Thieboudienne, Thieboudienne,https://www.google.com/search?q=+Thieboudienne+Senegal,🇸🇳
Serbia, Ćevapčići, Cevapcici,https://www.google.com/search?q=+Cevapcici+Serbia,🇷🇸
Serbia, Pljeskavica, Pljeskavica,https://www.google.com/search?q=+Pljeskavica+Serbia,🇷🇸
Serbia, Gibanica (pastry), Gibanica (pastry),https://www.google.com/search?q=+Gibanica+(pastry)+Serbia,🇷🇸
Singapore, Chilli crab, Chilli crab,https://www.google.com/search?q=+Chilli+crab+Singapore,🇸🇬
Singapore, Hainanese chicken rice, Hainanese chicken rice,https://www.google.com/search?q=+Hainanese+chicken+rice+Singapore,🇸🇬
Singapore, Hokkien mee, Hokkien mee,https://www.google.com/search?q=+Hokkien+mee+Singapore,🇸🇬
Singapore,,,https://www.google.com/search?q=+Singapore,🇸🇬
Slovakia, Bryndzové halušky, Bryndzove halusky,https://www.google.com/search?q=+Bryndzove+halusky+Slovakia,🇸🇰
Slovenia, Buckwheat dumplings (particularly štruklji), Buckwheat dumplings (particularly struklji),https://www.google.com/search?q=+Buckwheat+dumplings+(particularly+struklji)+Slovenia,🇸🇮
Slovenia,Idrijski žlikrofi,Idrijski zlikrofi,https://www.google.com/search?q=Idrijski+zlikrofi+Slovenia,🇸🇮
South Africa, Bobotie, Bobotie,https://www.google.com/search?q=+Bobotie+South Africa,🇿🇦
Spain, Tortilla de patatas, Tortilla de patatas,https://www.google.com/search?q=+Tortilla+de+patatas+Spain,🇪🇸
Sri Lanka, Rice and curry, Rice and curry,https://www.google.com/search?q=+Rice+and+curry+Sri Lanka,🇱🇰
Sri Lanka, Kottu, Kottu,https://www.google.com/search?q=+Kottu+Sri Lanka,🇱🇰
Suriname, Pom, Pom,https://www.google.com/search?q=+Pom+Suriname,🇸🇷
Sweden, Köttbullar, Kottbullar,https://www.google.com/search?q=+Kottbullar+Sweden,🇸🇪
Sweden, Kräftskiva, Kraftskiva,https://www.google.com/search?q=+Kraftskiva+Sweden,🇸🇪
Sweden, Surströmming, Surstromming,https://www.google.com/search?q=+Surstromming+Sweden,🇸🇪
Sweden, Ostkaka, Ostkaka,https://www.google.com/search?q=+Ostkaka+Sweden,🇸🇪
Switzerland, Cervelat, Cervelat,https://www.google.com/search?q=+Cervelat+Switzerland,🇨🇭
Switzerland, Fondue, Fondue,https://www.google.com/search?q=+Fondue+Switzerland,🇨🇭
Switzerland, Rösti, Rosti,https://www.google.com/search?q=+Rosti+Switzerland,🇨🇭
Switzerland, Zürcher Geschnetzeltes, Zurcher Geschnetzeltes,https://www.google.com/search?q=+Zurcher+Geschnetzeltes+Switzerland,🇨🇭
Syria, Kibbeh, Kibbeh,https://www.google.com/search?q=+Kibbeh+Syria,🇸🇾
Taiwan, Beef noodle soup Minced pork rice, Beef noodle soup Minced pork rice,https://www.google.com/search?q=+Beef+noodle+soup+Minced+pork+rice+Taiwan,🇹🇼
Tajikistan, Osh Palov, Osh Palov,https://www.google.com/search?q=+Osh+Palov+Tajikistan,🇹🇯
Tajikistan, Qurutob, Qurutob,https://www.google.com/search?q=+Qurutob+Tajikistan,🇹🇯
Tanzania, Chipsi mayai, Chipsi mayai,https://www.google.com/search?q=+Chipsi+mayai+Tanzania,🇹🇿
Thailand, Pad Thai, Pad Thai,https://www.google.com/search?q=+Pad+Thai+Thailand,🇹🇭
Thailand, Tom yum, Tom yum,https://www.google.com/search?q=+Tom+yum+Thailand,🇹🇭
Thailand, Som tam, Som tam,https://www.google.com/search?q=+Som+tam+Thailand,🇹🇭
Trinidad and Tobago, Callaloo, Callaloo,https://www.google.com/search?q=+Callaloo+Trinidad and Tobago,🇹🇹
Trinidad and Tobago, Doubles, Doubles,https://www.google.com/search?q=+Doubles+Trinidad and Tobago,🇹🇹
Trinidad and Tobago, Pelau, Pelau,https://www.google.com/search?q=+Pelau+Trinidad and Tobago,🇹🇹
Tunisia, Kosksi, Kosksi,https://www.google.com/search?q=+Kosksi+Tunisia,🇹🇳
Tunisia, Brik/Bric, Brik/Bric,https://www.google.com/search?q=+Brik/Bric+Tunisia,🇹🇳
Turkey, Kuru fasulye with pilaf/pilau, Kuru fasulye with pilaf/pilau,https://www.google.com/search?q=+Kuru+fasulye+with+pilaf/pilau+Turkey,🇹🇷
